2025-06-30 14:19:16.205 [info] Starting Python Locator /home/azureuser/.vscode-server/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-06-30 14:19:16.218 [info] Discovered env: /bin/python3
2025-06-30 14:19:16.221 [info] Discovered env: /usr/bin/python3
2025-06-30 14:19:16.221 [info] Locator Conda took 348.851236ms
2025-06-30 14:19:16.221 [info] Locator Homebrew took 61.744µs
2025-06-30 14:19:16.221 [info] Locator LinuxGlobal took 597.859213ms
2025-06-30 14:19:16.221 [info] Locator PipEnv took 11.664µs
2025-06-30 14:19:16.221 [info] Locator Poetry took 2.889655ms
2025-06-30 14:19:16.221 [info] Locator PyEnv took 3.815873ms
2025-06-30 14:19:16.221 [info] Locator Venv took 9.073µs
2025-06-30 14:19:16.222 [info] Locator VirtualEnv took 9.548µs
2025-06-30 14:19:16.222 [info] Locator VirtualEnvWrapper took 10.315µs
2025-06-30 14:19:16.222 [info] Locator GlobalVirtualEnvs took 91.724µs
2025-06-30 14:19:16.222 [info] Locator Locators took 600.933671ms
2025-06-30 14:19:16.222 [info] Locator Path took 718.685148ms
2025-06-30 14:19:16.222 [info] Locator Workspaces took 889ns
2025-06-30 14:19:16.222 [info] Refresh completed in 719ms
